Species,Condition,Phase,Rhizotron,Dry weight per rhizotron,T per Rhizotron,T in liters,WUE
maize,ww,2,1,"29,13","4149,336976","4,149336976","7,020398721"
maize,ws,2,2,"9,32","1241,681139","1,241681139","7,505952782"
maize,ww,2,3,"26,43","3476,03388","3,47603388","7,603493209"
maize,ws,2,4,"13,76","1672,561728","1,672561728","8,226901148"
maize,ww,1,5,"10,42","1525,460769","1,525460769","6,830723026"
maize,ws,1,6,"7,15","901,89","0,90189","7,927796073"
maize,ww,1,7,"18,04","2468,368408","2,468368408","7,308471435"
maize,ws,1,8,"9,14","1012,163881","1,012163881","9,03015823"
sorghum,ws,2,9,"6,19","1375,765326","1,375765326","4,49931386"
sorghum,ww,2,10,"5,32","1237,556215","1,237556215","4,298794621"
sorghum,ws,2,11,"4,31","1041,761852","1,041761852","4,137221949"
sorghum,ww,2,12,"10,12","2416,315585","2,416315585","4,188194648"
sorghum,ws,1,13,"2,41","677,03","0,67703","3,559665007"
sorghum,ww,1,14,"7,15","2553,248254","2,553248254","2,800354407"
sorghum,ws,1,15,"4,18","1036,770427","1,036770427","4,031750801"
sorghum,ww,1,16,"3,94","1555,984298","1,555984298","2,532159229"
