species,condition,rhizotron,plant,leaf,date,lenght,width,coef,area
maize,ww,1,L1,L1_1,28/10,"5,5",1,"0,798","4,389"
maize,ww,1,L1,L1_2,28/10,0,0,"0,000","0,000"
maize,ww,1,L1,L1_3,28/10,0,0,"0,000","0,000"
maize,ww,1,L1,L1_4,28/10,0,0,"0,000","0,000"
maize,ww,1,L1,L1_5,28/10,0,0,"0,000","0,000"
maize,ww,1,L1,L1_6,28/10,0,0,"0,000","0,000"
maize,ww,1,L1,L1_7,28/10,0,0,"0,000","0,000"
maize,ww,1,L1,L1_8,28/10,0,0,"0,000","0,000"
maize,ww,1,L1,L1_9,28/10,0,0,"0,000","0,000"
maize,ww,1,L1,L1_10,28/10,0,0,"0,000","0,000"
maize,ww,1,L1,L1_11,28/10,0,0,"0,000","0,000"
maize,ww,1,R1,R1_1,28/10,"5,4","1,3","0,798","5,602"
maize,ww,1,R1,R1_2,28/10,0,0,"0,000","0,000"
maize,ww,1,R1,R1_3,28/10,0,0,"0,000","0,000"
maize,ww,1,R1,R1_4,28/10,0,0,"0,000","0,000"
maize,ww,1,R1,R1_5,28/10,0,0,"0,000","0,000"
maize,ww,1,R1,R1_6,28/10,0,0,"0,000","0,000"
maize,ww,1,R1,R1_7,28/10,0,0,"0,000","0,000"
maize,ww,1,R1,R1_8,28/10,0,0,"0,000","0,000"
maize,ww,1,R1,R1_9,28/10,0,0,"0,000","0,000"
maize,ww,1,R1,R1_10,28/10,0,0,"0,000","0,000"
maize,ww,1,R1,R1_11,28/10,0,0,"0,000","0,000"
maize,ws,2,L2,L2_1,28/10,"4,6","1,4","0,798","5,139"
maize,ws,2,L2,L2_2,28/10,0,0,"0,000","0,000"
maize,ws,2,L2,L2_3,28/10,0,0,"0,000","0,000"
maize,ws,2,L2,L2_4,28/10,0,0,"0,000","0,000"
maize,ws,2,L2,L2_5,28/10,0,0,"0,000","0,000"
maize,ws,2,L2,L2_6,28/10,0,0,"0,000","0,000"
maize,ws,2,L2,L2_7,28/10,0,0,"0,000","0,000"
maize,ws,2,L2,L2_8,28/10,0,0,"0,000","0,000"
maize,ws,2,L2,L2_9,28/10,0,0,"0,000","0,000"
maize,ws,2,R2,R2_1,28/10,5,"0,9","0,798","3,591"
maize,ws,2,R2,R2_2,28/10,0,0,"0,000","0,000"
maize,ws,2,R2,R2_3,28/10,0,0,"0,000","0,000"
maize,ws,2,R2,R2_4,28/10,0,0,"0,000","0,000"
maize,ws,2,R2,R2_5,28/10,0,0,"0,000","0,000"
maize,ws,2,R2,R2_6,28/10,0,0,"0,000","0,000"
maize,ws,2,R2,R2_7,28/10,0,0,"0,000","0,000"
maize,ws,2,R2,R2_8,28/10,0,0,"0,000","0,000"
maize,ww,3,L3,L3_1,28/10,"4,4","1,2","0,798","4,213"
maize,ww,3,L3,L3_2,28/10,0,0,"0,000","0,000"
maize,ww,3,L3,L3_3,28/10,0,0,"0,000","0,000"
maize,ww,3,L3,L3_4,28/10,0,0,"0,000","0,000"
maize,ww,3,L3,L3_5,28/10,0,0,"0,000","0,000"
maize,ww,3,L3,L3_6,28/10,0,0,"0,000","0,000"
maize,ww,3,L3,L3_7,28/10,0,0,"0,000","0,000"
maize,ww,3,L3,L3_8,28/10,0,0,"0,000","0,000"
maize,ww,3,L3,L3_9,28/10,0,0,"0,000","0,000"
maize,ww,3,L3,L3_10,28/10,0,0,"0,000","0,000"
maize,ww,3,L3,L3_11,28/10,0,0,"0,000","0,000"
maize,ww,3,R3,R3_1,28/10,"4,4","1,2","0,798","4,213"
maize,ww,3,R3,R3_2,28/10,0,0,"0,000","0,000"
maize,ww,3,R3,R3_3,28/10,0,0,"0,000","0,000"
maize,ww,3,R3,R3_4,28/10,0,0,"0,000","0,000"
maize,ww,3,R3,R3_5,28/10,0,0,"0,000","0,000"
maize,ww,3,R3,R3_6,28/10,0,0,"0,000","0,000"
maize,ww,3,R3,R3_7,28/10,0,0,"0,000","0,000"
maize,ww,3,R3,R3_8,28/10,0,0,"0,000","0,000"
maize,ww,3,R3,R3_9,28/10,0,0,"0,000","0,000"
maize,ww,3,R3,R3_10,28/10,0,0,"0,000","0,000"
maize,ws,4,L4,L4_1,28/10,"6,4","1,2","0,798","6,129"
maize,ws,4,L4,L4_2,28/10,0,0,"0,000","0,000"
maize,ws,4,L4,L4_3,28/10,0,0,"0,000","0,000"
maize,ws,4,L4,L4_4,28/10,0,0,"0,000","0,000"
maize,ws,4,L4,L4_5,28/10,0,0,"0,000","0,000"
maize,ws,4,L4,L4_6,28/10,0,0,"0,000","0,000"
maize,ws,4,L4,L4_7,28/10,0,0,"0,000","0,000"
maize,ws,4,L4,L4_8,28/10,0,0,"0,000","0,000"
maize,ws,4,L4,L4_9,28/10,0,0,"0,000","0,000"
maize,ws,4,R4,R4_1,28/10,"6,1","1,4","0,798","6,815"
maize,ws,4,R4,R4_2,28/10,0,0,"0,000","0,000"
maize,ws,4,R4,R4_3,28/10,0,0,"0,000","0,000"
maize,ws,4,R4,R4_4,28/10,0,0,"0,000","0,000"
maize,ws,4,R4,R4_5,28/10,0,0,"0,000","0,000"
maize,ws,4,R4,R4_6,28/10,0,0,"0,000","0,000"
maize,ws,4,R4,R4_7,28/10,0,0,"0,000","0,000"
maize,ws,4,R4,R4_8,28/10,0,0,"0,000","0,000"
maize,ws,4,R4,R4_9,28/10,0,0,"0,000","0,000"
maize,ww,5,L5,L5_1,28/10,"5,2","1,2","0,798","4,980"
maize,ww,5,L5,L5_2,28/10,0,0,"0,000","0,000"
maize,ww,5,L5,L5_3,28/10,0,0,"0,000","0,000"
maize,ww,5,L5,L5_4,28/10,0,0,"0,000","0,000"
