species,Phase,condition,rhizotron,sampled_plant,plant,shoot_fresh_weight,root_fresh_weight,longer_root_lenght,shoot_dry_weight,root_dry_weight,R_S_Ratio,,
maize,2,ww,1,1,L1,"84,75","20,53",75,"11,32","3,27","0,288869258",,
maize,2,ww,1,2,R1,"84,31","20,61","75,4","10,95","3,59","0,3278538813",,
maize,2,ws,2,3,L2,"24,88","7,39","69,8","3,2","1,08","0,3375",,
maize,2,ws,2,4,R2,"29,45","8,84","71,5","3,73","1,31","0,3512064343",,
maize,2,ww,3,5,L3,"81,59","19,27","79,8","9,98","3,1","0,3106212425",,
maize,2,ww,3,6,R3,"75,08","21,77",71,"9,94","3,41","0,3430583501",,
maize,2,ws,4,7,L4,"33,06","10,91","69,5","4,69","1,88","0,4008528785",,
maize,2,ws,4,8,R4,"37,13","10,75","75,4","5,36","1,83","0,3414179104",,
maize,1,ww,5,1,L5,"39,88","8,93","79,5","4,24","1,17","0,2759433962",,
maize,1,ww,5,2,R5,"38,31","11,65","77,5","3,99","1,02","0,2556390977",,
maize,1,ws,6,3,L6,"18,26","5,73","71,5","2,41","0,85","0,3526970954",,
maize,1,ws,6,4,R6,"21,75","8,37",74,"2,88","1,01","0,3506944444",,
maize,1,ww,7,5,L7,"62,35","12,26",73,"6,55","1,6","0,2442748092",,
maize,1,ww,7,6,R7,"69,05","17,07",82,"7,95","1,94","0,2440251572",,
maize,1,ws,8,7,L8,"29,42","9,74","72,5","4,35","1,32","0,3034482759",,
maize,1,ws,8,8,R8,"19,67","6,03","65,5","2,63","0,84","0,319391635",,
sorghum,2,ws,9,1,L9,"12,9","10,63","79,7","2,03","1,53","0,7536945813",,
sorghum,2,ws,9,2,R9,"11,54","7,98","92,7","1,71","0,92","0,6013071895",,
sorghum,2,ww,10,3,R10,"33,08","20,64","102,1","3,55","1,77","0,4985915493",,
sorghum,2,ws,11,4,L11,"17,07","10,08","98,5","2,89","1,42","0,491349481",,
sorghum,2,ww,12,5,L12,"44,63","34,85","106,3","6,59","3,53","0,535660091",,
sorghum,1,ws,13,1,L13,"3,88","3,09",77,"0,68","0,52","0,7647058824",,"2,41"
sorghum,1,ws,13,2,R13,"3,54","3,46","91,5","0,63","0,58","0,9206349206",,"7,15"
sorghum,1,ww,14,3,L14,"31,02","18,41","93,8","3,95","1,99","0,5037974684",,"4,18"
sorghum,1,ww,14,5,R14,"19,71","12,15","99,8","2,46","1,2","0,487804878",,"3,94"
sorghum,1,ws,15,4,L15,"3,97","3,29",81,"0,71","0,43","0,6056338028",,
sorghum,1,ws,15,6,R15,"10,2","8,12","83,6","1,75","1,29","0,7371428571",,
sorghum,1,ww,16,7,R16,"21,85","12,29",88,"2,71","1,23","0,4538745387",,
