species,condition,rhizotron,plant,leaf,date,height,Lenght of the leaf,Width of the leaf,Coef,area
maize,ww,1,L1,L1_1,28/10,"9,00","5,5",1,"0,5","2,75"
maize,ww,1,L1,L1_1,30/10,"9,00",6,"1,2","0,75","5,40"
maize,ww,1,L1,L1_1,01/11,"9,00",6,"1,2","0,75","5,40"
maize,ww,1,L1,L1_1,04/11,"9,00",6,"1,2","0,75","5,40"
maize,ww,1,L1,L1_1,06/11,"9,00",6,"1,2","0,75","5,40"
maize,ww,1,L1,L1_1,08/11,"9,00",6,"1,2","0,75","5,40"
maize,ww,1,L1,L1_1,11/11,"9,00",6,"1,2","0,75","5,40"
maize,ww,1,L1,L1_1,13/11,"9,00",6,"1,2","0,75","5,40"
maize,ww,1,L1,L1_1,15/11,"9,00",6,"1,2","0,75","5,40"
maize,ww,1,L1,L1_2,28/10,"19,50",0,0,0,"0,00"
maize,ww,1,L1,L1_2,30/10,"22,00","15,3","1,1","0,5","8,42"
maize,ww,1,L1,L1_2,01/11,"22,90","15,5",1,"0,75","11,63"
maize,ww,1,L1,L1_2,04/11,"22,90","15,5",1,"0,75","11,63"
maize,ww,1,L1,L1_2,06/11,"22,90","15,5",1,"0,75","11,63"
maize,ww,1,L1,L1_2,08/11,"22,90","15,5",1,"0,75","11,63"
maize,ww,1,L1,L1_2,11/11,"22,90","15,5",1,"0,75","11,63"
maize,ww,1,L1,L1_2,13/11,"22,90","15,5",1,"0,75","11,63"
maize,ww,1,L1,L1_2,15/11,"22,90","15,5",1,"0,75","11,63"
maize,ww,1,L1,L1_3,28/10,"15,00",0,0,0,"0,00"
maize,ww,1,L1,L1_3,30/10,"25,50",0,0,0,"0,00"
maize,ww,1,L1,L1_3,01/11,"35,60",0,0,0,"0,00"
maize,ww,1,L1,L1_3,04/11,"41,00",31,"1,5","0,75","34,88"
maize,ww,1,L1,L1_3,06/11,"41,00",31,"1,5","0,75","34,88"
maize,ww,1,L1,L1_3,08/11,"41,00",31,"1,5","0,75","34,88"
maize,ww,1,L1,L1_3,11/11,"41,00",31,"1,5","0,75","34,88"
maize,ww,1,L1,L1_3,13/11,"41,00",31,"1,5","0,75","34,88"
maize,ww,1,L1,L1_3,15/11,"41,00",31,"1,5","0,75","34,88"
maize,ww,1,L1,L1_4,28/10,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_4,30/10,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_4,01/11,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_4,04/11,"44,60","34,2","2,8","0,5","47,88"
maize,ww,1,L1,L1_4,06/11,"57,30","43,3","2,8","0,5","60,62"
maize,ww,1,L1,L1_4,08/11,"63,10","47,7","2,6","0,75","93,02"
maize,ww,1,L1,L1_4,11/11,"63,10","47,7","2,6","0,75","93,02"
maize,ww,1,L1,L1_4,13/11,"63,10","47,7","2,6","0,75","93,02"
maize,ww,1,L1,L1_4,15/11,"63,10","47,7","2,6","0,75","93,02"
maize,ww,1,L1,L1_5,28/10,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_5,30/10,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_5,01/11,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_5,04/11,"25,50",15,"1,5","0,5","11,25"
maize,ww,1,L1,L1_5,06/11,"39,80","22,1","3,6","0,5","39,78"
maize,ww,1,L1,L1_5,08/11,"54,80","29,9",4,"0,5","59,80"
maize,ww,1,L1,L1_5,11/11,"76,20","48,5",4,"0,5","97,00"
maize,ww,1,L1,L1_5,13/11,"83,70","61,2","4,1","0,5","125,46"
maize,ww,1,L1,L1_5,15/11,"86,70","64,6",4,"0,75","193,80"
maize,ww,1,L1,L1_6,28/10,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_6,30/10,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_6,01/11,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_6,04/11,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_6,06/11,"21,30","3,8","0,5","0,5","0,95"
maize,ww,1,L1,L1_6,08/11,"36,20","10,2","2,1","0,5","10,71"
maize,ww,1,L1,L1_6,11/11,"59,00",28,"4,6","0,5","64,40"
maize,ww,1,L1,L1_6,13/11,"74,00","46,5","4,9","0,5","113,93"
maize,ww,1,L1,L1_6,15/11,"87,80","50,8",5,"0,5","127,00"
maize,ww,1,L1,L1_7,28/10,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_7,30/10,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_7,01/11,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_7,04/11,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_7,06/11,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_7,08/11,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_7,11/11,"39,80","9,2","1,5","0,5","6,90"
maize,ww,1,L1,L1_7,13/11,"54,80",24,"4,3","0,5","51,60"
maize,ww,1,L1,L1_7,15/11,"69,70","32,5","4,8","0,5","78,00"
maize,ww,1,L1,L1_8,28/10,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_8,30/10,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_8,01/11,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_8,04/11,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_8,06/11,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_8,08/11,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_8,11/11,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_8,13/11,"0,00",0,0,0,"0,00"
maize,ww,1,L1,L1_8,15/11,"49,50","12,4","2,3","0,5","14,26"
sorghum,ws,11,L11,L11_1,28/10,"0,00",0,0,0,"0,00"
sorghum,ws,11,L11,L11_1,30/10,"5,50","1,9","0,6","0,75","0,86"
sorghum,ws,11,L11,L11_1,01/11,"5,50","1,9","0,6","0,75","0,86"
sorghum,ws,11,L11,L11_1,04/11,"5,50","1,9","0,6","0,75","0,86"
sorghum,ws,11,L11,L11_1,06/11,"5,50","1,9","0,6","0,75","0,86"
sorghum,ws,11,L11,L11_1,08/11,"5,50","1,9","0,6","0,75","0,86"
sorghum,ws,11,L11,L11_1,11/11,"5,50","1,9","0,6","0,75","0,86"
sorghum,ws,11,L11,L11_1,13/11,"5,50","1,9","0,6","0,75","0,86"
sorghum,ws,11,L11,L11_1,15/11,"5,50","1,9","0,6","0,75","0,86"
sorghum,ws,11,L11,L11_2,28/10,"0,00",0,0,0,"0,00"
sorghum,ws,11,L11,L11_2,30/10,"11,00","5,9","0,5","0,5","1,48"
sorghum,ws,11,L11,L11_2,01/11,"11,00","5,8","0,55","0,75","2,39"
sorghum,ws,11,L11,L11_2,04/11,"11,00","5,8","0,55","0,75","2,39"
sorghum,ws,11,L11,L11_2,06/11,"11,00","5,8","0,55","0,75","2,39"
sorghum,ws,11,L11,L11_2,08/11,"11,00","5,8","0,55","0,75","2,39"
sorghum,ws,11,L11,L11_2,11/11,"11,00","5,8","0,55","0,75","2,39"
sorghum,ws,11,L11,L11_2,13/11,"11,00","5,8","0,55","0,75","2,39"
sorghum,ws,11,L11,L11_2,15/11,"11,00","5,8","0,55","0,75","2,39"
sorghum,ws,11,L11,L11_3,28/10,"0,00",0,0,0,"0,00"
sorghum,ws,11,L11,L11_3,30/10,"19,90",0,0,0,"0,00"
