species,condition,rhizotron,plant,leaf,date,height,lenght,width,coef,area
maize,ww,1,L1,L1_1,28/10,9,"5,5",1,"0,765","4,21"
maize,ww,1,L1,L1_2,28/10,"19,5",0,0,0,"0,00"
maize,ww,1,L1,L1_3,28/10,15,0,0,0,"0,00"
maize,ww,1,L1,L1_4,28/10,0,0,0,0,"0,00"
maize,ww,1,L1,L1_5,28/10,0,0,0,0,"0,00"
maize,ww,1,L1,L1_6,28/10,0,0,0,0,"0,00"
maize,ww,1,L1,L1_7,28/10,0,0,0,0,"0,00"
maize,ww,1,L1,L1_8,28/10,0,0,0,0,"0,00"
maize,ww,1,L1,L1_9,28/10,0,0,0,0,"0,00"
maize,ww,1,L1,L1_10,28/10,0,0,0,0,"0,00"
maize,ww,1,R1,R1_1,28/10,"8,9","5,4","1,3","0,765","5,37"
maize,ww,1,R1,R1_2,28/10,"19,6",0,0,0,"0,00"
maize,ww,1,R1,R1_3,28/10,"17,9",0,0,0,"0,00"
maize,ww,1,R1,R1_4,28/10,0,0,0,0,"0,00"
maize,ww,1,R1,R1_5,28/10,0,0,0,0,"0,00"
maize,ww,1,R1,R1_6,28/10,0,0,0,0,"0,00"
maize,ww,1,R1,R1_7,28/10,0,0,0,0,"0,00"
maize,ww,1,R1,R1_8,28/10,0,0,0,0,"0,00"
maize,ww,1,R1,R1_9,28/10,0,0,0,0,"0,00"
maize,ww,1,R1,R1_10,28/10,0,0,0,0,"0,00"
maize,ws,2,L2,L2_1,28/10,"7,3","4,6","1,4","0,765","4,93"
maize,ws,2,L2,L2_2,28/10,"14,6",0,0,0,"0,00"
maize,ws,2,L2,L2_3,28/10,"11,1",0,0,0,"0,00"
maize,ws,2,L2,L2_4,28/10,0,0,0,0,"0,00"
maize,ws,2,L2,L2_5,28/10,0,0,0,0,"0,00"
maize,ws,2,L2,L2_6,28/10,0,0,0,0,"0,00"
maize,ws,2,L2,L2_7,28/10,0,0,0,0,"0,00"
maize,ws,2,L2,L2_8,28/10,0,0,0,0,"0,00"
maize,ws,2,R2,R2_1,28/10,"8,6",5,"0,9","0,765","3,44"
maize,ws,2,R2,R2_2,28/10,"16,9",0,0,0,"0,00"
maize,ws,2,R2,R2_3,28/10,"9,3",0,0,0,"0,00"
maize,ws,2,R2,R2_4,28/10,0,0,0,0,"0,00"
maize,ws,2,R2,R2_5,28/10,0,0,0,0,"0,00"
maize,ws,2,R2,R2_6,28/10,0,0,0,0,"0,00"
maize,ws,2,R2,R2_7,28/10,0,0,0,0,"0,00"
maize,ws,2,R2,R2_8,28/10,0,0,0,0,"0,00"
maize,ww,3,L3,L3_1,28/10,"7,8","4,4","1,2","0,765","4,04"
maize,ww,3,L3,L3_2,28/10,"18,6",0,0,0,"0,00"
maize,ww,3,L3,L3_3,28/10,"16,8",0,0,0,"0,00"
maize,ww,3,L3,L3_4,28/10,0,0,0,0,"0,00"
maize,ww,3,L3,L3_5,28/10,0,0,0,0,"0,00"
maize,ww,3,L3,L3_6,28/10,0,0,0,0,"0,00"
maize,ww,3,L3,L3_7,28/10,0,0,0,0,"0,00"
maize,ww,3,L3,L3_8,28/10,0,0,0,0,"0,00"
maize,ww,3,L3,L3_9,28/10,0,0,0,0,"0,00"
maize,ww,3,L3,L3_10,28/10,0,0,0,0,"0,00"
maize,ww,3,R3,R3_1,28/10,"8,5","4,4","1,2","0,765","4,04"
maize,ww,3,R3,R3_2,28/10,"15,4",0,0,0,"0,00"
maize,ww,3,R3,R3_3,28/10,"9,5",0,0,0,"0,00"
maize,ww,3,R3,R3_4,28/10,0,0,0,0,"0,00"
maize,ww,3,R3,R3_5,28/10,0,0,0,0,"0,00"
